country;faceAttributes.age;faceAttributes.blur.blurLevel;faceAttributes.blur.value;faceAttributes.emotion.anger;faceAttributes.emotion.contempt;faceAttributes.emotion.disgust;faceAttributes.emotion.fear;faceAttributes.emotion.happiness;faceAttributes.emotion.neutral;faceAttributes.emotion.sadness;faceAttributes.emotion.surprise;faceAttributes.facialHair.beard;faceAttributes.facialHair.moustache;faceAttributes.facialHair.sideburns;faceAttributes.gender;faceAttributes.glasses;faceAttributes.headPose.pitch;faceAttributes.headPose.roll;faceAttributes.headPose.yaw;faceAttributes.smile;faceId;faceLandmarks.eyeLeftBottom.x;faceLandmarks.eyeLeftBottom.y;faceLandmarks.eyeLeftInner.x;faceLandmarks.eyeLeftInner.y;faceLandmarks.eyeLeftOuter.x;faceLandmarks.eyeLeftOuter.y;faceLandmarks.eyeLeftTop.x;faceLandmarks.eyeLeftTop.y;faceLandmarks.eyeRightBottom.x;faceLandmarks.eyeRightBottom.y;faceLandmarks.eyeRightInner.x;faceLandmarks.eyeRightInner.y;faceLandmarks.eyeRightOuter.x;faceLandmarks.eyeRightOuter.y;faceLandmarks.eyeRightTop.x;faceLandmarks.eyeRightTop.y;faceLandmarks.eyebrowLeftInner.x;faceLandmarks.eyebrowLeftInner.y;faceLandmarks.eyebrowLeftOuter.x;faceLandmarks.eyebrowLeftOuter.y;faceLandmarks.eyebrowRightInner.x;faceLandmarks.eyebrowRightInner.y;faceLandmarks.eyebrowRightOuter.x;faceLandmarks.eyebrowRightOuter.y;faceLandmarks.mouthLeft.x;faceLandmarks.mouthLeft.y;faceLandmarks.mouthRight.x;faceLandmarks.mouthRight.y;faceLandmarks.noseLeftAlarOutTip.x;faceLandmarks.noseLeftAlarOutTip.y;faceLandmarks.noseLeftAlarTop.x;faceLandmarks.noseLeftAlarTop.y;faceLandmarks.noseRightAlarOutTip.x;faceLandmarks.noseRightAlarOutTip.y;faceLandmarks.noseRightAlarTop.x;faceLandmarks.noseRightAlarTop.y;faceLandmarks.noseRootLeft.x;faceLandmarks.noseRootLeft.y;faceLandmarks.noseRootRight.x;faceLandmarks.noseRootRight.y;faceLandmarks.noseTip.x;faceLandmarks.noseTip.y;faceLandmarks.pupilLeft.x;faceLandmarks.pupilLeft.y;faceLandmarks.pupilRight.x;faceLandmarks.pupilRight.y;faceLandmarks.underLipBottom.x;faceLandmarks.underLipBottom.y;faceLandmarks.underLipTop.x;faceLandmarks.underLipTop.y;faceLandmarks.upperLipBottom.x;faceLandmarks.upperLipBottom.y;faceLandmarks.upperLipTop.x;faceLandmarks.upperLipTop.y;faceRectangle.height;faceRectangle.left;faceRectangle.top;faceRectangle.width;img_id;img_url;salary
Burundi;18.1;;;0.002;0.036;0.003;0.002;0.614;0.301;0.023;0.02;0.0;0.0;0.0;male;NoGlasses;0.0;0.7;1.1;0.614;4f8e7a60-af5f-4dfa-8803-d25164282e3d;3723.6;652.2;3761.6;634.8;3689.8;633.2;3724.3;613.4;3947.0;651.7;3903.9;635.7;3984.5;629.6;3944.8;612.4;3797.6;569.1;3649.4;575.3;3876.7;568.5;4006.4;586.3;3738.8;846.4;3916.4;842.2;3766.3;748.9;3784.7;708.6;3900.0;746.4;3873.7;705.7;3806.1;634.6;3864.7;634.0;3832.1;730.8;3726.5;629.8;3945.2;627.8;3826.9;884.1;3827.2;849.5;3834.6;830.2;3833.4;803.2;466;3599;497;466;061693d6-6491-46a7-a5b6-599296677954;"http://static.dollarstreet.org/media/Burundi 3/image/061693d6-6491-46a7-a5b6-599296677954/original-061693d6-6491-46a7-a5b6-599296677954.jpg
";27
Burundi;5.6;;;0.002;0.021;0.001;0.0;0.516;0.447;0.011;0.001;0.0;0.0;0.0;female;NoGlasses;0.0;-6.2;-0.1;0.516;e7b0fb2c-adcd-4d3b-83a5-f52c6c856684;1211.2;1914.6;1244.8;1900.3;1175.8;1900.0;1208.5;1883.6;1416.2;1895.7;1376.9;1889.5;1445.6;1873.4;1409.3;1862.5;1260.5;1855.4;1116.8;1860.4;1347.2;1851.5;1489.1;1831.3;1237.5;2074.0;1424.5;2053.4;1260.0;2006.2;1279.0;1973.0;1385.9;1994.3;1358.5;1965.1;1290.9;1902.8;1340.8;1900.1;1322.1;1997.5;1214.1;1893.4;1410.1;1873.5;1339.0;2104.1;1336.6;2088.3;1335.2;2072.5;1332.4;2063.0;418;1112;1765;418;061693d6-6491-46a7-a5b6-599296677954;"http://static.dollarstreet.org/media/Burundi 3/image/061693d6-6491-46a7-a5b6-599296677954/original-061693d6-6491-46a7-a5b6-599296677954.jpg
";27
Burundi;2.3;;;0.0;0.0;0.0;0.0;0.999;0.0;0.0;0.001;0.0;0.0;0.0;male;NoGlasses;0.0;-6.0;-2.4;0.999;4552bd97-d87a-4ff9-acd9-b21b35f30314;2343.1;2679.0;2379.4;2664.1;2304.9;2672.1;2336.3;2653.8;2538.8;2650.4;2497.4;2649.0;2573.1;2629.4;2527.9;2624.5;2372.8;2611.7;2249.1;2625.6;2485.9;2600.6;2604.1;2573.9;2361.3;2839.8;2540.1;2818.5;2383.0;2771.7;2398.2;2735.4;2507.5;2755.2;2487.3;2725.8;2410.5;2661.6;2460.1;2656.6;2441.7;2757.3;2347.7;2663.8;2536.7;2635.1;2453.7;2882.6;2448.7;2856.9;2445.8;2826.3;2443.5;2814.4;409;2240;2534;409;061693d6-6491-46a7-a5b6-599296677954;"http://static.dollarstreet.org/media/Burundi 3/image/061693d6-6491-46a7-a5b6-599296677954/original-061693d6-6491-46a7-a5b6-599296677954.jpg
";27
Burundi;28.8;;;0.002;0.001;0.021;0.0;0.973;0.003;0.0;0.0;0.0;0.1;0.1;male;NoGlasses;0.0;2.6;2.4;0.973;6ade1022-cfe5-4f4b-9bd0-6cae099b5457;2323.0;950.2;2353.5;946.2;2293.4;942.4;2323.4;938.5;2504.4;964.4;2475.5;956.0;2529.3;961.9;2504.6;951.9;2377.1;909.9;2255.6;919.7;2448.3;916.1;2567.7;938.8;2329.2;1098.3;2489.1;1110.0;2352.0;1024.7;2379.5;998.7;2482.3;1035.2;2457.8;1004.2;2391.0;953.7;2447.4;955.2;2417.5;1032.5;2332.1;944.5;2507.6;959.2;2407.6;1123.7;2406.7;1108.0;2414.0;1092.9;2415.4;1078.5;358;2236;846;358;061693d6-6491-46a7-a5b6-599296677954;"http://static.dollarstreet.org/media/Burundi 3/image/061693d6-6491-46a7-a5b6-599296677954/original-061693d6-6491-46a7-a5b6-599296677954.jpg
";27
Romania;43.7;;;0.003;0.019;0.005;0.0;0.019;0.379;0.575;0.0;0.0;0.0;0.0;female;NoGlasses;0.0;-14.7;-8.5;0.019;8aa027f9-d99c-4014-9001-990b54bd581c;1868.8;1375.1;1915.9;1348.4;1809.6;1370.9;1859.5;1336.0;2195.5;1296.6;2138.6;1294.5;2233.9;1267.6;2184.1;1260.0;1925.4;1242.0;1737.0;1321.8;2063.4;1212.9;2314.5;1173.1;1976.4;1686.9;2270.7;1603.9;1965.8;1535.3;1979.2;1474.4;2168.5;1487.2;2112.7;1439.3;1977.8;1335.2;2076.5;1314.7;2054.2;1503.9;1847.6;1356.6;2164.6;1280.2;2126.7;1700.5;2117.8;1665.6;2110.4;1655.8;2101.7;1629.7;747;1687;1106;747;7c11be33-770b-4750-acad-fe2803023127;"http://static.dollarstreet.org/media/Romania 3/image/7c11be33-770b-4750-acad-fe2803023127/original-7c11be33-770b-4750-acad-fe2803023127.jpg
";163
Ukraine;48.9;;;0.0;0.001;0.0;0.0;0.0;0.496;0.503;0.0;0.1;0.0;0.1;male;NoGlasses;0.0;-5.8;-5.3;0.0;8755ba0a-3078-489d-9d55-91a5115fb5a1;864.1;1769.4;898.1;1757.1;830.4;1758.8;861.2;1748.2;1062.4;1745.9;1026.3;1741.2;1093.7;1731.9;1061.5;1723.2;912.0;1704.9;789.4;1723.2;990.6;1698.0;1142.9;1683.3;901.8;1958.2;1075.8;1935.9;916.6;1859.7;931.9;1819.8;1026.6;1851.6;999.7;1815.8;931.0;1754.5;990.6;1747.7;963.6;1853.2;857.8;1757.0;1058.9;1732.7;981.4;1974.7;977.7;1952.5;978.1;1948.1;975.8;1932.6;443;749;1621;443;bdf24f72-226a-48d8-aba8-a6061cbe2372;"http://static.dollarstreet.org/media/Ukraine 3/image/bdf24f72-226a-48d8-aba8-a6061cbe2372/original-bdf24f72-226a-48d8-aba8-a6061cbe2372.jpg
";476
Ukraine;51.4;;;0.001;0.027;0.002;0.0;0.131;0.837;0.001;0.0;0.0;0.1;0.1;male;NoGlasses;0.0;2.4;-5.5;0.131;679e2b08-2e82-42cf-898b-b81f1c321d6e;2240.4;1330.1;2267.2;1325.5;2213.0;1324.6;2240.8;1313.6;2409.1;1334.7;2380.3;1330.8;2437.0;1330.8;2407.5;1318.2;2283.6;1261.8;2158.5;1258.7;2357.8;1267.8;2494.6;1265.8;2230.5;1529.1;2389.8;1538.6;2254.7;1443.6;2276.2;1408.5;2378.2;1440.5;2358.3;1411.1;2293.4;1330.9;2342.8;1332.9;2314.3;1457.5;2238.0;1315.8;2404.2;1322.5;2311.3;1605.4;2310.8;1579.1;2311.6;1526.9;2311.1;1509.6;431;2100;1213;431;bdf24f72-226a-48d8-aba8-a6061cbe2372;"http://static.dollarstreet.org/media/Ukraine 3/image/bdf24f72-226a-48d8-aba8-a6061cbe2372/original-bdf24f72-226a-48d8-aba8-a6061cbe2372.jpg
";476
Ukraine;30.9;;;0.0;0.001;0.0;0.0;0.971;0.028;0.0;0.0;0.0;0.0;0.2;male;NoGlasses;0.0;-0.7;4.3;0.971;96c6208a-83f1-4896-ae50-fe431d434f0d;3441.7;1357.9;3465.7;1355.3;3416.3;1354.0;3440.3;1345.0;3607.8;1359.5;3583.9;1352.0;3630.6;1354.7;3607.9;1344.4;3490.1;1324.2;3376.1;1336.1;3558.6;1322.1;3666.6;1330.9;3441.6;1525.7;3601.8;1526.8;3470.6;1452.9;3492.3;1425.3;3580.8;1452.6;3561.9;1425.5;3507.4;1359.6;3546.6;1358.1;3529.5;1459.5;3440.8;1351.7;3605.4;1350.0;3531.6;1558.2;3529.2;1538.8;3525.3;1531.7;3526.6;1518.9;380;3333;1249;380;bdf24f72-226a-48d8-aba8-a6061cbe2372;"http://static.dollarstreet.org/media/Ukraine 3/image/bdf24f72-226a-48d8-aba8-a6061cbe2372/original-bdf24f72-226a-48d8-aba8-a6061cbe2372.jpg
";476
India;5.0;;;0.252;0.004;0.001;0.0;0.0;0.74;0.002;0.002;0.0;0.0;0.0;male;NoGlasses;0.0;-3.9;7.2;0.0;ed81915c-efa3-4965-99db-67a45d5ccb52;2490.7;2603.4;2545.5;2588.2;2436.1;2586.8;2492.6;2562.7;2799.8;2585.1;2747.4;2570.3;2845.5;2562.8;2800.4;2544.5;2585.2;2536.8;2349.5;2546.0;2718.8;2525.0;2913.9;2515.7;2546.9;2864.3;2767.0;2853.5;2571.9;2732.6;2604.9;2681.1;2765.8;2718.7;2729.4;2671.1;2609.4;2594.5;2707.9;2587.5;2680.9;2717.1;2491.1;2582.4;2787.5;2560.3;2667.3;2900.4;2664.6;2856.2;2667.4;2839.2;2665.7;2804.4;618;2345;2400;618;7ecd239f-a8cc-4a0f-b9c0-cfd105e33662;"http://static.dollarstreet.org/media/India 12/image/7ecd239f-a8cc-4a0f-b9c0-cfd105e33662/original-7ecd239f-a8cc-4a0f-b9c0-cfd105e33662.jpg
";29
India;6.5;;;0.0;0.0;0.0;0.0;0.0;0.992;0.007;0.0;0.0;0.0;0.0;female;NoGlasses;0.0;-5.8;4.7;0.0;0b747c13-d283-4a0d-aabf-c1ae245eb215;3501.5;1593.7;3549.0;1572.1;3447.6;1581.6;3495.9;1551.5;3771.1;1565.7;3723.4;1552.1;3814.6;1542.4;3766.7;1525.2;3579.3;1496.5;3399.6;1521.7;3690.6;1488.4;3836.7;1473.5;3547.0;1834.7;3764.9;1814.9;3567.0;1707.2;3586.3;1649.5;3729.6;1699.6;3704.4;1639.1;3598.4;1566.3;3678.7;1559.3;3657.8;1673.7;3492.4;1566.1;3765.3;1538.9;3663.4;1875.8;3660.6;1844.8;3660.1;1803.3;3657.8;1781.4;587;3351;1386;587;7ecd239f-a8cc-4a0f-b9c0-cfd105e33662;"http://static.dollarstreet.org/media/India 12/image/7ecd239f-a8cc-4a0f-b9c0-cfd105e33662/original-7ecd239f-a8cc-4a0f-b9c0-cfd105e33662.jpg
";29
India;6.5;;;0.0;0.001;0.0;0.0;0.0;0.989;0.009;0.0;0.0;0.0;0.0;male;NoGlasses;0.0;2.2;9.3;0.0;091aaf6b-c695-479a-b9a2-0b73762c6049;1696.7;1851.2;1741.3;1841.1;1656.2;1837.8;1687.8;1821.6;1947.6;1874.7;1900.4;1856.1;1993.1;1858.4;1950.6;1844.1;1783.2;1771.0;1597.8;1783.2;1892.5;1781.0;2036.2;1794.8;1700.6;2076.1;1909.0;2095.6;1740.8;1965.6;1764.8;1916.4;1909.3;1964.0;1895.9;1924.4;1787.3;1841.6;1866.0;1846.3;1835.0;1951.9;1705.2;1836.6;1955.9;1856.5;1819.8;2120.8;1824.3;2087.5;1827.1;2078.3;1828.9;2052.0;529;1557;1693;529;7ecd239f-a8cc-4a0f-b9c0-cfd105e33662;"http://static.dollarstreet.org/media/India 12/image/7ecd239f-a8cc-4a0f-b9c0-cfd105e33662/original-7ecd239f-a8cc-4a0f-b9c0-cfd105e33662.jpg
";29
India;12.0;;;0.132;0.01;0.004;0.015;0.0;0.735;0.071;0.034;0.0;0.0;0.0;male;NoGlasses;0.0;-18.5;-0.3;0.0;ec443a27-9e2b-4d22-bab8-d1aa69db1962;3167.6;1005.7;3195.6;982.4;3128.5;1004.2;3154.5;979.8;3381.3;940.1;3342.8;936.7;3410.4;917.1;3372.1;911.3;3214.9;937.2;3056.9;962.9;3300.7;900.8;3429.3;843.8;3253.1;1184.0;3409.8;1134.1;3235.7;1072.1;3241.5;1021.0;3366.9;1038.4;3320.6;1000.4;3245.1;967.2;3293.3;955.5;3289.2;1032.0;3164.6;988.7;3371.0;925.3;3350.7;1197.0;3338.6;1169.7;3327.2;1136.7;3321.1;1118.8;453;3069;822;453;7ecd239f-a8cc-4a0f-b9c0-cfd105e33662;"http://static.dollarstreet.org/media/India 12/image/7ecd239f-a8cc-4a0f-b9c0-cfd105e33662/original-7ecd239f-a8cc-4a0f-b9c0-cfd105e33662.jpg
";29